'ain-benian	Cheraga	Africa	36.7677	2.9592
'ain-el-turk	Mers el Kebir	Africa	35.7279	-0.7081
'ain-merane	Mazouna	Africa	36.1223	0.8986
'izbat-al-burj	Râs el-Barr	Africa	31.5103	31.8285
abobo	Anonkoua	Africa	5.4273	-4.0487
aboisso	Adaou	Africa	5.4278	-3.2644
aboisso	Assouba	Africa	5.4596	-3.2565
aboisso	Bakro	Africa	5.5068	-3.2455
aboisso	Krinjabo	Africa	5.3973	-3.2136
abomey-calavi	Ganvié	Africa	6.4644	2.3929
abu-tij	As Sāḩil	Africa	27.0631	31.3442
accra	Osu	Africa	5.5573	-0.1864
acornhoek	Bolla-Tau	Africa	-24.6328	31.1311
acornhoek	Kgapamadi	Africa	-24.6086	31.0177
acornhoek	Tsakani	Africa	-24.6193	31.0513
acornhoek	Xikhusese	Africa	-24.6024	31.1346
ad-damazin	Ash Shallāl	Africa	11.8000	34.4000
ad-darwa	Mediouna	Africa	33.4516	-7.5199
adzope	Biasso	Africa	6.1115	-3.7866
adzope	Diapé	Africa	6.0142	-3.9273
adzope	Moapé	Africa	6.1889	-3.8037
agadez	Alaghsas	Africa	17.0187	8.0168
agboville	Banguié I	Africa	5.9016	-4.2005
agboville	Grand Morié	Africa	5.9831	-4.1354
agege	Akowonjo	Africa	6.6101	3.3097
agege	Alimosho	Africa	6.6066	3.3024
agege	Ikeja	Africa	6.5965	3.3420
agnibilekrou	Damé	Africa	7.0709	-3.1488
ahouanou	Palmindustrie Tamabo	Africa	5.4415	-4.7954
ahwiaa	Tafo	Africa	6.7316	-1.6137
ain-attig	Mers El Kheir	Africa	33.8626	-6.9296
ain-oulmene	Salah Bey	Africa	35.8545	5.2905
ain-taoujdat	Lemhaya	Africa	33.9772	-5.2510
ain-temouchent	Aghlal	Africa	35.2011	-1.0696
ain-temouchent	El Malah	Africa	35.3914	-1.0924
ain-temouchent	Sidi Ben Adda	Africa	35.3059	-1.1814
ait-melloul	Dchira El Jihadia	Africa	30.3734	-9.5476
ait-melloul	Inezgane	Africa	30.3554	-9.5364
ait-melloul	My Drarga	Africa	30.3773	-9.4734
ajegunle	Aiyetoro	Africa	6.4592	3.3425
ajegunle	Aliayabiagba	Africa	6.4500	3.3333
akbou	Ighram	Africa	36.4629	4.5053
akim-oda	Akim Swedru	Africa	5.8938	-1.0164
akoupe	Agbaou	Africa	6.3414	-3.8543
akoupe	Ahéoua	Africa	6.3606	-3.8609
akoupe	Assangbadji	Africa	6.4078	-3.8767
akoupe	Assikoun	Africa	6.4175	-3.8831
akoupe	Bacon	Africa	6.3560	-3.9102
akoupe	Bécouéfin	Africa	6.4809	-3.8462
akure	Ilare	Africa	7.3507	5.1133
al-'ayn-as-sukhnah	Ain Sukhna	Africa	29.6002	32.3167
al-aaroui	Selouane	Africa	35.0731	-2.9423
al-badari	Şidfā	Africa	26.9664	31.3795
al-balyana	Dār as Salām	Africa	26.2784	32.0561
al-basaliyah-bahri	As Sibā‘īyah	Africa	25.1941	32.6771
al-bayda'	Wardāmah	Africa	32.7966	21.7910
al-hoceima	Ajdir	Africa	35.1954	-3.9117
al-hoceima	Tirhanimîne	Africa	35.2362	-3.9545
al-junaynah	'Ārdamatā	Africa	13.4755	22.4853
al-junaynah	El Geneina Fort	Africa	13.4748	22.4574
al-mansurah	Ţalkhā	Africa	31.0539	31.3779
al-qanatir-al-khayriyah	Manshīyat al Qanāţir	Africa	30.1848	31.1065
alasia	Igbessa	Africa	6.5273	3.1337
algiers	Birkhadem	Africa	36.7150	3.0500
algiers	Saoula	Africa	36.7046	3.0246
amanfrom	Kasoa	Africa	5.5345	-0.4168
andilamena	Bemaitso	Africa	-17.0667	48.5000
aneho	Agoué	Africa	6.2463	1.6762
anyama	Ebimpe	Africa	5.4990	-4.0821
anyinam	Saman	Africa	6.3239	-0.5006
aourir	Taghazout	Africa	30.5426	-9.7111
aplahoue	Djakotomé	Africa	6.8991	1.7162
armant	Ţūd	Africa	25.5828	32.5329
arsi-negele	Kuyera	Africa	7.3000	38.6500
arzew	Aïn el Bya	Africa	35.8039	-0.3018
as-salihiyah-al-jadidah	Al Qaşşāşīn	Africa	30.5641	31.9339
as-sarw	Az Zarqā	Africa	31.2086	31.6353
as-sarw	Mīt Abū Ghālib	Africa	31.2884	31.6772
as-sinbillawayn	Timayy al Imdīd	Africa	30.9438	31.5293
ashaiman	Lashibi	Africa	5.6848	-0.0401
ashaiman	Tema	Africa	5.6698	-0.0166
assiut	An Nāşirīyah	Africa	27.2058	31.1964
at'aye	Kara K’orē	Africa	10.4215	39.9351
at-taj	Al Jawf	Africa	24.1989	23.2909
atlantis	Mamre	Africa	-33.5127	18.4737
az-zahra'	Qarqūzah	Africa	32.7457	12.8423
az-zawiyah	Al Ḩurshah	Africa	32.7647	12.6739
az-zawiyah	Zawiya	Africa	32.7522	12.7278
azazga	Freha	Africa	36.7523	4.3155
azemmour	Sidi Ali Ben Hamdouche	Africa	33.2867	-8.3266
bab-ezzouar	Bordj el Kiffan	Africa	36.7487	3.1925
bab-ezzouar	Dar el Beïda	Africa	36.7133	3.2125
bafang	Bana	Africa	5.1466	10.2754
bafut	Mbengwi	Africa	6.0167	10.0000
bamako	Sirakoro Méguétana	Africa	12.5644	-7.9155
banamba	Toubakoura	Africa	13.4637	-7.3828
bandjoun	Bamendjou	Africa	5.3899	10.3301
bandjoun	Bansoa	Africa	5.4484	10.3135
bangangte	Bazou	Africa	5.0600	10.4675
bani-suwayf	Banī Suwayf al Jadīdah	Africa	29.0330	31.1141
bani-suwayf	New Bani Sewif City	Africa	29.0356	31.1179
banigbe	Idiroko	Africa	6.6319	2.7472
banjul	Essau	Africa	13.4839	-16.5347
banjul	Mandinari	Africa	13.3728	-16.6028
beau-bassin-rose-hill	Bambous	Africa	-20.2567	57.4061
beau-bassin-rose-hill	Dagotière	Africa	-20.2448	57.5619
beau-bassin-rose-hill	Moka	Africa	-20.2190	57.5108
beau-bassin-rose-hill	Petite Rivière	Africa	-20.1955	57.4459
beau-bassin-rose-hill	Quatre Bornes	Africa	-20.2638	57.4791
beau-bassin-rose-hill	Richelieu	Africa	-20.1932	57.4595
beau-bassin-rose-hill	Tamarin	Africa	-20.3256	57.3706
bebedja	Goré	Africa	8.6500	16.5167
beja	Maagoula	Africa	36.7090	9.2119
beja	Zaouiet Medien	Africa	36.7677	9.0889
bekwai	Sefwi	Africa	6.5231	-1.6360
ben-jerrar	Lqoliaa	Africa	30.2976	-9.4660
ben-jerrar	Sidi Bibi	Africa	30.2378	-9.5288
benguela	Navegantes	Africa	-12.5900	13.3912
beni-douala	Tizi-n-Tleta	Africa	36.5457	4.0571
beni-mellal	Oulad Embarek	Africa	32.2716	-6.4497
beni-mellal	Oulad Yaïch	Africa	32.4350	-6.3245
beni-mellal	Sidi Jaber	Africa	32.3895	-6.4210
beni-mered	Beni Tamou	Africa	36.5383	2.8217
beni-mered	Oued el Alleug	Africa	36.5553	2.7903
beni-mered	Souma	Africa	36.5183	2.9053
benoni	Brakpan	Africa	-26.2366	28.3694
benoni	Springs	Africa	-26.2500	28.4000
berkane	Sidi Slimane Echcharaa	Africa	34.9082	-2.3506
bhisho	Ilitha	Africa	-32.8924	27.5305
bhisho	Ndevana	Africa	-32.9077	27.5097
bhisho	Phakamisa	Africa	-32.9333	27.4571
bhisho	Qonce	Africa	-32.8808	27.3938
bissau	Bairro Militar	Africa	11.8746	-15.6158
bissau	CIM	Africa	11.8607	-15.5781
bissau	Contumo	Africa	11.8500	-15.6167
bissau	Missira	Africa	11.8614	-15.6068
bissau	Pefiné	Africa	11.8724	-15.5945
bissau	Plaque	Africa	11.8833	-15.6167
bissau	Quelele	Africa	11.8667	-15.6333
bissau	Reino de Antula	Africa	11.9000	-15.5833
bissau	Reino de Bandim	Africa	11.8500	-15.6000
bissau	Sintra-Nema	Africa	11.8624	-15.5974
bizerte	Menzel Abderhaman	Africa	37.2374	9.8631
bizerte	Menzel Jemil	Africa	37.2362	9.9145
blida	Boû Arfa	Africa	36.4630	2.8146
blolequin	Blédi Diéya	Africa	6.5863	-8.0672
bo	Baoma	Africa	7.9934	-11.7147
boboniessoko	Koukoguhé	Africa	6.9106	-6.5657
boboniessoko	Zahia	Africa	6.9167	-6.5781
boboniessoko	Zaïbo	Africa	6.9893	-6.6667
boditi	Shanto	Africa	7.0236	37.8608
bongouanou	Assaoufoué	Africa	6.5767	-4.2241
bongouanou	Broukro	Africa	6.6464	-4.2230
bongouanou	Kotobi	Africa	6.6957	-4.1289
bongouanou	Mbaoussiéssou	Africa	6.5807	-4.2711
bongouanou	Nguessankro	Africa	6.6347	-4.3035
bongouanou	Nguinou	Africa	6.7505	-4.1613
bongouanou	Zanfouénou	Africa	6.7052	-4.1061
bonon	Bognonzra	Africa	6.9432	-5.9673
bonon	Goazra	Africa	6.9443	-5.9688
bonoua	Samo	Africa	5.2840	-3.5179
bonoufla	Gaboua	Africa	7.0625	-6.4681
bonoufla	Zokoguhé-Didéguhé	Africa	7.0676	-6.4590
bordj-el-bahri	Aïn Taya	Africa	36.7933	3.2869
